geocode,legal_description,total_market_land,last_modified,property_address,sub_category,subdivision,owners__0,land_value,building_value,yoY_difference,market_land_details__0,market_land_details__1,market_land_details__2,market_land_details__4,other_building_details__0,other_building_details__1,other_building_details__2,other_building_details__4,other_building_details__5,other_building_details__8,other_building_details__9,other_building_details__10,other_building_details__12,other_building_details__13,other_building_details__16,other_building_details__17,other_building_details__18,other_building_details__20,other_building_details__21,other_building_details__24,other_building_details__25,other_building_details__26,other_building_details__28,other_building_details__29,other_building_details__32,other_building_details__33,other_building_details__34,other_building_details__36,other_building_details__37,other_building_details__40,other_building_details__41,other_building_details__42,other_building_details__44,other_building_details__45,other_building_details__48,other_building_details__49,other_building_details__50,other_building_details__52,other_building_details__53,building_details__3,building_details__4,building_details__5,building_details__6,building_details__8,building_details__10,building_details__11,building_details__12,building_details__14,building_details__15,building_details__16,building_details__17,building_details__18,other_building_details__56,other_building_details__57,other_building_details__58,other_building_details__60,other_building_details__61,building_details__7,building_details__9,building_details__13,building_details__19,other_building_details__64,other_building_details__65,other_building_details__66,other_building_details__68,other_building_details__69,other_building_details__72,other_building_details__73,other_building_details__74,other_building_details__76,other_building_details__77,other_building_details__80,other_building_details__81,other_building_details__82,other_building_details__84,other_building_details__85,market_land_details__6,market_land_details__7,market_land_details__8,market_land_details__10,building_details__20
03-0926-03-2-10-20-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 2, Lot 10",0.465,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,11/4/2010 4:04:13 PM,80015,464285,121500,Primary Site,   ,0.465,80015,RPA2 - Concrete,A,3301,1720,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-09-20-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 3, Lot 10",0.468,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,12/22/2008 12:52:12 PM,80252,368548,82800,Primary Site,   ,0.468,80252,RPA2 - Concrete,A,3301,1284,  ,"RRS1 - Shed, Frame",A,3301,120,  ,"RRG1 - Garage, frame, detached, finished",5,3301,616,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-10-26-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 2, Lot 13",0.465,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,8/21/2017 9:59:59 AM,80015,394185,92100,Primary Site,   ,0.465,80015,RPA2 - Concrete,A,3301,1400,  ,"RRS1 - Shed, Frame",G,3301,192,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-09-12-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 3, Lot 6",0.461,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,11/6/2007 9:25:03 PM,79697,373003,102300,Primary Site,   ,0.461,79697,RPA2 - Concrete,A,3301,720,  ,RPA2 - Concrete,A,3301,690,  ,"RRS1 - Shed, Frame",A,3301,80,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-09-01-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 3, Lot 1",0.462,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,11/7/2017 4:45:21 PM,79777,445223,122900,Primary Site,   ,0.462,79777,RPA2 - Concrete,A,3301,2456,  ,"RRT7 - Deck, covered patio",A,3301,100,  ,"RRG3 - Garage, frame, detached, unfinished",5,3301,624,  ,"RRT3 - Deck, stone/tile w/sand base",A,3301,480,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-03-2-09-06-0000,"ALDINGER ACRES SUBD 3RD FILING, S03, T01 S, R25 E, BLOCK 3, Lot 3",0.460,10/6/2023 1:55:41 AM,,Residential Property,ALDINGER ACRES SUBD 3RD FILING,5/11/2008 9:54:08 AM,79618,410782,101900,Primary Site,   ,0.46,79618,RPA2 - Concrete,A,3301,1476,  ,RPA2 - Concrete,A,3301,509,  ,RPA2 - Concrete,A,3301,1540,  ,"RRG3 - Garage, frame, detached, unfinished",6,3301,624,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-13-4-01-12-0000,"ALLISON SUBD, S13, T01 S, R25 E, Lot 2, S198'LT 2 & 3",1.250,10/6/2023 1:55:41 AM,,Commercial Property,ALLISON SUBD,12/16/2014 12:00:49 PM,209588,274100,50499,Primary Site,   ,1.25,209588,"CRS1 - Utility Building, frame",A,3307,120,  ,"CPA1 - Paving, asphalt",A,3307,7700,  ,"CAU2 - Fuel Storage Tank, aboveground, Steel",A,3307,20000,  ,"CAU2 - Fuel Storage Tank, aboveground, Steel",A,3307,10000,  ,"CRS1 - Utility Building, frame",A,3307,400,  ,"CRF1 - Fence, chain link (commercial)",A,3307,  ,  ,"CLT5 - Light, mercury vapor, pole & bracket",A,3307,1,  ,"373 - Multi-purpose, Retail, single occupancy",1,0,0,083 - Multi-Use Sales,11,1,11,3-Normal,40,1-Hot Air,2-Normal,3-Normal,"CGFF - Garage, detached, frame, finished",G,3307,576,  ,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-13-4-01-04-0000,"ALLISON SUBD, S13, T01 S, R25 E, Lot 8, W 114.03' LT 8",0.722,10/6/2023 1:55:41 AM,,Commercial Property,ALLISON SUBD,12/16/2014 12:03:57 PM,137347,1880,22757,Primary Site,   ,0.722,137347,"CRFC - Fence, chain link w/barbed wire (commercial)",A,3307,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-13-4-01-03-0000,"ALLISON SUBD, S13, T01 S, R25 E, Lot 9",0.606,10/6/2023 1:55:41 AM,,Commercial Property,ALLISON SUBD,12/16/2014 12:05:14 PM,120019,3520,22682,Primary Site,   ,0.606,120019,"CRFC - Fence, chain link w/barbed wire (commercial)",A,3307,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-13-4-01-05-0000,"ALLISON SUBD, S13, T01 S, R25 E, Lot 4A, & 5A&7A AMND  (06) (2.123 ACRES)",2.123,10/6/2023 1:55:41 AM,,Commercial Property,ALLISON SUBD,5/23/2023 12:07:02 PM,315135,203360,31723,Primary Site,   ,2.123,315135,"CLT2 - Light, incandescent, wall mounted",A,3307,1,  ,"CRFC - Fence, chain link w/barbed wire (commercial)",A,3307,  ,  ,"CSH1 - Shed, machinery",A,3307,1440,  ,"CRF1 - Fence, chain link (commercial)",A,3307,  ,  ,,,,,,,,,,,,,,,,,398 - Warehouse,1,0,,,14,1,,3-Normal,40,3-Unit or Space Heaters,2-Normal,,,,,,0,045 - Warehouse,14,3-Normal,,,,,,,,,,,,,,,,,,,,
03-0926-13-4-01-07-0000,"ALLISON SUBD, S13, T01 S, R25 E, Lot 5C, & LT 6A AMND LT 4-6",0.207,10/6/2023 1:55:41 AM,,Residential Property,ALLISON SUBD,5/15/2019 9:37:23 AM,55143,267357,25900,Primary Site,   ,0.207,55143,"RRS1 - Shed, Frame",A,3301,64,  ,"RRS1 - Shed, Frame",G,3301,220,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-13-4-01-01-0000,"ALLISON SUBD, S13, T01 S, R25 E, Lot 1A, AMND LT 1",1.716,10/6/2023 1:55:41 AM,,Commercial Property,ALLISON SUBD,10/2/2023 4:43:08 PM,267500,566600,82660,Primary Site,   ,1.716,267500,"CLT4 - Light, incandescent, pole & bracket",A,3307,1,  ,"CPA2 - Paving, concrete, 4""",A,3307,668,  ,"CGFF - Garage, detached, frame, finished",G,3307,1776,  ,"CPA1 - Paving, asphalt",A,3307,66750,  ,"CRFV - Fence, vinyl (commercial)",A,3307,  ,  ,"CRS1 - Utility Building, frame",A,3307,36,  ,,,,,,"373 - Multi-purpose, Retail, single occupancy",1,0,0,046 - Auto Showroom/Office,14,1,14,3-Normal,40,1-Hot Air,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-0926-13-4-01-08-0000,"ALLISON SUBD, S13, T01 S, R25 E, Lot 5B, AMND LT 4-6",0.284,10/6/2023 1:55:41 AM,,Commercial Property,ALLISON SUBD,9/21/2018 2:58:38 PM,66958,238542,105998,Primary Site,   ,0.284,66958,"CRS1 - Utility Building, frame",A,3307,220,  ,"CRS1 - Utility Building, frame",A,3307,64,  ,"CRS1 - Utility Building, frame",A,3307,160,  ,,,,,,,,,,,,,,,,,,,,,"373 - Multi-purpose, Retail, single occupancy",1,2017,0,045 - Warehouse,8,1,8,3-Normal,40,1-Hot Air,2-Normal,3-Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-1134-17-2-80-05-0000,"BLUEGRASS SUBD 2ND FILING, S17, T02 N, R27 E, BLOCK 1, Lot 3,   6.000 AC (96)",6.000,10/6/2023 1:55:41 AM,,Residential Property,BLUEGRASS SUBD 2ND FILING,1/31/2014 4:44:39 PM,100449,344551,107000,Primary Site,   ,6,100449,"AAP4 - Pole Frame Bldg, 1 side open, wood",A,3301,  ,  ,"AAP1 - Pole Frame Bldg, 4 sides closed, metal",L,3301,  ,  ,"RRS1 - Shed, Frame",A,3301,  ,  ,AAB2 - Standard Barn,A,3301,  ,  ,"AAP3 - Pole Frame Bldg, 1 side open, metal",A,3301,  ,  ,RPA2 - Concrete,A,3301,800,  ,"RRS1 - Shed, Frame",A,3301,120,  ,,,,,,,,,,,,,,"AAP1 - Pole Frame Bldg, 4 sides closed, metal",A,3301,1080,  ,,,,,"AAP3 - Pole Frame Bldg, 1 side open, metal",A,3301,432,  ,"AAP3 - Pole Frame Bldg, 1 side open, metal",A,3301,  ,  ,"AAP3 - Pole Frame Bldg, 1 side open, metal",A,3301,  ,  ,,,,,
03-1134-17-2-80-15-0000,"BLUEGRASS SUBD 2ND FILING, S17, T02 N, R27 E, BLOCK 1, Lot 5B1, AMD  (11)",10.470,10/6/2023 1:55:41 AM,,Residential Property,BLUEGRASS SUBD 2ND FILING,9/18/2015 4:45:57 PM,122741,404559,73400,Primary Site,   ,10.47,122741,RPA2 - Concrete,A,3301,576,  ,"RRS1 - Shed, Frame",G,3301,440,  ,AAB2 - Standard Barn,A,3301,  ,  ,"AAP6 - Pole Frame Bldg, 4 sides open, wood",A,3301,  ,  ,"RRS1 - Shed, Frame",A,3301,  ,  ,"AAP3 - Pole Frame Bldg, 1 side open, metal",A,3301,  ,  ,"AAP3 - Pole Frame Bldg, 1 side open, metal",A,3301,  ,  ,,,,,,,,,,,,,,"AAP3 - Pole Frame Bldg, 1 side open, metal",A,3301,  ,  ,,,,,"AAP3 - Pole Frame Bldg, 1 side open, metal",A,3301,  ,  ,,,,,,,,,,,,,,,
03-1134-17-2-80-50-0000,"BLUEGRASS SUBD 2ND FILING, S17, T02 N, R27 E, BLOCK 1, Lot 1",1.000,10/6/2023 1:55:41 AM,,Non-Qualified Ag,BLUEGRASS SUBD 2ND FILING,3/10/2022 2:00:18 PM,57045,270820,320114,1 Ac. beneath Improvements (for dwlg on NQ Ag Land),   ,1,52700,"RRS1 - Shed, Frame",A,3301,  ,  ,"AAP4 - Pole Frame Bldg, 1 side open, wood",A,3301,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-1134-17-2-80-10-0000,"BLUEGRASS SUBD 2ND FILING, S17, T02 N, R27 E, BLOCK 1, Lot 5A, 10.00 AC     (03)",10.000,10/6/2023 1:55:41 AM,,Residential Property,BLUEGRASS SUBD 2ND FILING,8/18/2020 12:04:12 PM,120729,400471,79200,Primary Site,   ,10,120729,RPA2 - Concrete,A,3301,  ,  ,RPA2 - Concrete,A,3301,  ,  ,"RRS1 - Shed, Frame",G,3301,100,  ,RPA2 - Concrete,A,3301,  ,  ,"AAP4 - Pole Frame Bldg, 1 side open, wood",A,3301,  ,  ,"AAP3 - Pole Frame Bldg, 1 side open, metal",A,3301,  ,  ,AAB2 - Standard Barn,A,3301,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-1134-17-2-80-40-0000,"BLUEGRASS SUBD 2ND FILING, S17, T02 N, R27 E, BLOCK 1, Lot 4, 5.010 AC  (96)",5.010,10/6/2023 1:55:41 AM,,Residential Property,BLUEGRASS SUBD 2ND FILING,8/11/2017 2:45:44 PM,94135,320865,84000,Primary Site,   ,5.01,94135,RPA2 - Concrete,A,3301,720,  ,RPA2 - Concrete,A,3301,200,  ,"RRS1 - Shed, Frame",A,3301,120,  ,RPA2 - Concrete,A,3301,  ,  ,"RRG3 - Garage, frame, detached, unfinished",5,3301,672,  ,"RRG3 - Garage, frame, detached, unfinished",4,3301,231,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-1134-17-2-80-01-0000,"BLUEGRASS SUBD 2ND FILING, S17, T02 N, R27 E, BLOCK 1, Lot 2, 5.590 AC (96)",5.590,10/6/2023 1:55:41 AM,,Residential Property,BLUEGRASS SUBD 2ND FILING,4/11/2023 3:39:24 PM,97922,368378,85300,Primary Site,   ,5.59,97922,AAB2 - Standard Barn,L,3301,1248,  ,RPA2 - Concrete,A,3301,464,  ,RPA2 - Concrete,A,3301,  ,  ,"RRS1 - Shed, Frame",A,3301,  ,  ,"RRG3 - Garage, frame, detached, unfinished",5,3301,744,  ,RPA2 - Concrete,A,3301,380,  ,RPA2 - Concrete,A,3301,  ,  ,,,,,,,,,,,,,,"RRS2 - Shed, residential, metal",A,3301,120,  ,,,,,,,,,,,,,,,,,,,,,,,,
